id	Name	Manufacturer	Capacity	Type	Cache	Form Factor	Interface	NVME	Price	Url
81	Seagate Exos X16 10 TB 3.5" 7200RPM Internal Hard Drive (ST10000NM001G)	Seagate	10 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€342.00	https://fi.pcpartpicker.com/product/DGVG3C/seagate-exos-x16-10-tb-35-7200rpm-internal-hard-drive-st10000nm001g
82	Western Digital Purple Pro 18 TB 3.5" 7200RPM Internal Hard Drive (WD181PURP)	Western Digital	18 TB	7200RPM	512 MB	3.5	SATA 6.0 Gb/s	No	€458.00	https://fi.pcpartpicker.com/product/RY8bt6/western-digital-18-tb-35-7200rpm-internal-hard-drive-wd181purp
83	Western Digital AV-25 1 TB 2.5" 5400RPM Internal Hard Drive (WD10JUCT)	Western Digital	1 TB	5400RPM	16 MB	2.5	SATA 3.0 Gb/s	No	€99.00	https://fi.pcpartpicker.com/product/fMh9TW/western-digital-internal-hard-drive-wd10juct
84	Seagate EXOS Enterprise 4 TB 3.5" 7200RPM Internal Hard Drive (ST4000NM000A)	Seagate	4 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€202.00	https://fi.pcpartpicker.com/product/Mjyqqs/seagate-exos-enterprise-4-tb-35-7200rpm-internal-hard-drive-st4000nm000a
85	Seagate IronWolf Pro 12 TB 3.5" 7200RPM Internal Hard Drive (ST12000NE0008)	Seagate	12 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€445.00	https://fi.pcpartpicker.com/product/T2PKHx/seagate-ironwolf-pro-12-tb-35-7200rpm-internal-hard-drive-st12000ne0008
86	Seagate IronWolf NAS 3 TB 3.5" 5900RPM Internal Hard Drive (ST3000VN007)	Seagate	3 TB	5900RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€114.00	https://fi.pcpartpicker.com/product/WG2rxr/seagate-ironwolf-3tb-35-5900rpm-internal-hard-drive-st3000vn007
87	Seagate SkyHawk Surveillance 6 TB 3.5" 5400RPM Internal Hard Drive (ST6000VX001)	Seagate	6 TB	5400RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€172.00	https://fi.pcpartpicker.com/product/J8DJ7P/seagate-skyhawk-surveillance-6-tb-35-5400rpm-internal-hard-drive-st6000vx001
88	Western Digital Red Pro 12 TB 3.5" 7200RPM Internal Hard Drive (WD121KFBX)	Western Digital	12 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€407.00	https://fi.pcpartpicker.com/product/P9jJ7P/western-digital-red-pro-12-tb-35-7200rpm-internal-hard-drive-wd121kfbx
89	Seagate SkyHawk 2 TB 3.5" 5900RPM Internal Hard Drive (ST2000VX008)	Seagate	2 TB	5900RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€78.00	https://fi.pcpartpicker.com/product/qFBrxr/seagate-skyhawk-2tb-35-5900rpm-internal-hard-drive-st2000vx008
90	Western Digital Purple 8 TB 3.5" 5640RPM Internal Hard Drive (WD84PURZ)	Western Digital	8 TB	5640RPM	128 MB	3.5	SATA 6.0 Gb/s	No	€252.00	https://fi.pcpartpicker.com/product/Vfytt6/western-digital-purple-8-tb-35-5640rpm-internal-hard-drive-wd84purz
