id	Name	Manufacturer	Type	Color	Power Supply	Side Panel Window	Power Supply Shroud	Motherboard Form Factor	Maximum Video Card Length	Volume	Dimensions	Price	Url
34	Lian Li LANCOOL 205 Mesh ATX Mid Tower Case (G99.OE764X.00)	Lian Li	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	350 mm / 13.78	41.261 L	415 mm x 205 mm x 485 mm	€82.00	https://fi.pcpartpicker.com/product/8nt9TW/lian-li-lancool-205-mesh-atx-mid-tower-case-g99oe764x00
35	Fractal Design Meshify 2 ATX Mid Tower Case (FD-C-MES2A-02)	Fractal Design	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	315 mm / 12.402 With Drive Cages	61.658 L	542 mm x 240 mm x 474 mm	€179.90	https://fi.pcpartpicker.com/product/jqTzK8/fractal-design-meshify-2-atx-mid-tower-case-fd-c-mes2a-02
36	Fractal Design Focus G ATX Mid Tower Case (FD-CA-FOCUS-BK-W)	Fractal Design	ATX Mid Tower	Black	None	Acrylic	No	ATX	380 mm / 14.961	42.233 L	464 mm x 205 mm x 444 mm	€61.90	https://fi.pcpartpicker.com/product/ZHmxFT/fractal-design-focus-g-black-atx-mid-tower-case-fd-ca-focus-bk-w
37	HYTE Y60 ATX Mid Tower Case (CS-HYTE-Y60-BW)	HYTE	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	375 mm / 14.764			€219.00	https://fi.pcpartpicker.com/product/pyBG3C/hyte-y60-atx-mid-tower-case-cs-hyte-y60-bw
38	Cooler Master MasterBox TD500 Mesh w/ Controller ATX Mid Tower Case (MCB-D500D-KGNN-S01)	Cooler Master	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	410 mm / 16.142			€135.90	https://fi.pcpartpicker.com/product/pvdrxr/cooler-master-masterbox-td500-mesh-w-controller-atx-mid-tower-case-mcb-d500d-kgnn-s01
39	MSI MPG GUNGNIR 110R ATX Mid Tower Case (MPG GUNGNIR 110R)	MSI	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	340 mm / 13.386			€119.00	https://fi.pcpartpicker.com/product/gLZzK8/msi-mpg-gungnir-110r-atx-mid-tower-case-mpg-gungnir-110r
40	NZXT H7 Flow ATX Mid Tower Case (CM-H71FW-01)	NZXT	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	400 mm / 15.748	55.752 L	480 mm x 230 mm x 505 mm	€144.90	https://fi.pcpartpicker.com/product/Ckt9TW/nzxt-h7-flow-atx-mid-tower-case-cm-h71fw-01
41	Corsair iCUE 220T RGB Airflow ATX Mid Tower Case (CC-9011173-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	300 mm / 11.811 With Drive Cages	37.328 L	395 mm x 210 mm x 450 mm	€99.90	https://fi.pcpartpicker.com/product/wMpmP6/corsair-icue-220t-rgb-atx-mid-tower-case-cc-9011173-ww
42	Phanteks Eclipse P500A D-RGB ATX Mid Tower Case (PH-EC500ATG_DBK01)	Phanteks	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	435 mm / 17.126			€162.90	https://fi.pcpartpicker.com/product/LVQfrH/phanteks-eclipse-p500a-d-rgb-atx-mid-tower-case-ph-ec500atg_dbk01
43	Corsair 5000D AIRFLOW ATX Mid Tower Case (CC-9011211-WW)	Corsair	ATX Mid Tower	White / Gray	None	Tempered Glass	Yes	ATX	420 mm / 16.535			€199.00	https://fi.pcpartpicker.com/product/JWn8TW/corsair-5000d-airflow-atx-mid-tower-case-cc-9011211-ww
